route_id,direction_id,service_id,idle_time_average
205,1,SAB,18.033333333333335
205,1,UTEIS,11.071428571428571
206,0,DOM,31.176470588235293
206,0,SAB,26.5
206,0,UTEIS,21.73469387755102
206,1,DOM,30.294117647058822
206,1,SAB,27.236842105263158
206,1,UTEIS,22.5
207,0,DOM,27.12121212121212
207,0,SAB,20.813953488372093
207,0,UTEIS,13.636363636363637
207,1,DOM,26.323529411764707
207,1,SAB,20.813953488372093
207,1,UTEIS,14.516129032258064
208,0,DOM,50.0
208,0,SAB,36.52173913043478
208,0,UTEIS,25.90909090909091
208,1,DOM,50.0
208,1,SAB,35.0
208,1,UTEIS,25.735294117647058
209,0,DOM,39.473684210526315
209,0,SAB,39.473684210526315
209,0,UTEIS,39.73684210526316
209,1,DOM,39.73684210526316
209,1,SAB,39.73684210526316
209,1,UTEIS,40.0
2M,0,DOM,60.0
2M,0,SAB,60.0
2M,0,UTEIS,60.0
2M,1,DOM,60.0
2M,1,SAB,60.0
2M,1,UTEIS,60.0
300,0,DOM,29.193548387096776
300,0,SAB,29.193548387096776
300,0,UTEIS,18.02
301,0,DOM,30.666666666666668
301,0,SAB,30.666666666666668
301,0,UTEIS,20.288888888888888
302,0,SAB,21.434782608695652
302,0,UTEIS,15.338983050847459
303,0,SAB,21.136363636363637
303,0,UTEIS,14.365079365079366
304,0,DOM,45.78947368421053
304,0,SAB,25.142857142857142
304,0,UTEIS,20.46511627906977
304,1,DOM,45.833333333333336
304,1,SAB,25.285714285714285
304,1,UTEIS,20.227272727272727
305,0,DOM,29.0
305,0,SAB,19.71153846153846
305,0,UTEIS,14.23611111111111
305,1,DOM,29.857142857142858
305,1,SAB,19.71698113207547
305,1,UTEIS,13.933333333333334
3M,0,DOM,38.57142857142857
3M,0,SAB,38.57142857142857
3M,0,UTEIS,38.57142857142857
3M,1,DOM,42.857142857142854
3M,1,SAB,42.857142857142854
3M,1,UTEIS,42.857142857142854
400,0,DOM,29.513513513513512
400,0,SAB,24.818181818181817
400,0,UTEIS,18.2
400,1,DOM,28.55263157894737
400,1,SAB,24.11111111111111
400,1,UTEIS,17.78688524590164
401,0,DOM,32.903225806451616
401,0,SAB,24.285714285714285
401,0,UTEIS,18.545454545454547
401,1,DOM,32.903225806451616
401,1,SAB,24.285714285714285
401,1,UTEIS,18.545454545454547
402,0,DOM,28.333333333333332
402,0,SAB,25.875
402,0,UTEIS,16.774193548387096
402,1,DOM,27.63157894736842
